Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-APR-2026,20MICRONS,181.90,168.64,0.0757,0.0295,0.0299,0.5712
16-APR-2026,21STCENMGM,31.78,31.16,0.0197,0.0197,0.0197,0.3764
16-APR-2026,360ONE,1076.45,1056.00,0.0192,0.0220,0.0220,0.4203
16-APR-2026,3IINFOLTD,17.33,16.90,0.0251,0.0258,0.0258,0.4929
16-APR-2026,3MINDIA,31265.00,31440.00,-0.0056,0.0191,0.0191,0.3649
16-APR-2026,3PLAND,35.99,36.29,-0.0083,0.0281,0.0280,0.5349
16-APR-2026,500009,28.88,29.18,-0.0103,0.0323,0.0322,0.6152
16-APR-2026,500012,41.96,41.62,0.0081,0.0272,0.0271,0.5177
16-APR-2026,500014,4.24,4.16,0.0190,0.0306,0.0306,0.5846
16-APR-2026,500016,8.08,8.11,-0.0037,0.0330,0.0329,0.6286
16-APR-2026,500028,35.67,34.94,0.0207,0.0318,0.0318,0.6075
16-APR-2026,500051,3.42,3.36,0.0177,0.0231,0.0231,0.4413
16-APR-2026,500058,14.98,14.34,0.0437,0.0324,0.0325,0.6209
16-APR-2026,500068,12295.00,12309.50,-0.0012,0.0187,0.0187,0.3573
16-APR-2026,500069,260.85,259.55,0.0050,0.0248,0.0247,0.4719
16-APR-2026,500123,9285.85,9031.45,0.0278,0.0239,0.0239,0.4566
16-APR-2026,500142,10.65,11.30,-0.0592,0.0412,0.0413,0.7890
16-APR-2026,500143,579.55,588.05,-0.0146,0.0353,0.0353,0.6744
16-APR-2026,500147,5236.95,5052.00,0.0360,0.0329,0.0330,0.6305
16-APR-2026,500159,137.85,114.90,0.1821,0.0249,0.0279,0.5330
16-APR-2026,500166,162.30,162.15,0.0009,0.0221,0.0220,0.4203
16-APR-2026,500168,776.20,783.40,-0.0092,0.0141,0.0141,0.2694
16-APR-2026,500170,23.52,23.43,0.0038,0.0323,0.0322,0.6152
16-APR-2026,500192,1.82,1.77,0.0279,0.0338,0.0338,0.6457
16-APR-2026,500202,7.72,7.72,0.0000,0.0346,0.0345,0.6591
16-APR-2026,500206,69.02,65.05,0.0592,0.0348,0.0350,0.6687
16-APR-2026,500213,343.30,344.30,-0.0029,0.0252,0.0251,0.4795
16-APR-2026,500220,151.55,156.25,-0.0305,0.0300,0.0300,0.5731
16-APR-2026,500239,15.15,16.28,-0.0719,0.0324,0.0327,0.6247
16-APR-2026,500240,245.05,243.60,0.0059,0.0326,0.0325,0.6209
16-APR-2026,500245,441.95,399.65,0.1006,0.0228,0.0238,0.4547
16-APR-2026,500246,46.55,43.99,0.0566,0.0421,0.0422,0.8062
16-APR-2026,500264,132.80,131.70,0.0083,0.0309,0.0308,0.5884
16-APR-2026,500267,315.35,314.45,0.0029,0.0282,0.0281,0.5368
16-APR-2026,500270,113.00,109.35,0.0328,0.0226,0.0227,0.4337
16-APR-2026,500277,6.62,6.70,-0.0120,0.0415,0.0414,0.7909
16-APR-2026,500285,14.14,13.47,0.0485,0.0369,0.0370,0.7069
16-APR-2026,500298,621.95,609.20,0.0207,0.0290,0.0290,0.5540
16-APR-2026,500307,535.20,531.25,0.0074,0.0128,0.0127,0.2426
16-APR-2026,500319,77.57,75.30,0.0297,0.0273,0.0273,0.5216
16-APR-2026,500322,116.70,116.75,-0.0004,0.0358,0.0357,0.6820
16-APR-2026,500346,51.45,50.20,0.0246,0.0340,0.0339,0.6477
16-APR-2026,500357,13.95,13.48,0.0343,0.0337,0.0337,0.6438
16-APR-2026,500360,189.05,182.05,0.0377,0.0364,0.0364,0.6954
16-APR-2026,500365,37.04,36.62,0.0114,0.0291,0.0290,0.5540
16-APR-2026,500370,30.45,31.51,-0.0342,0.0360,0.0360,0.6878
16-APR-2026,500371,25.27,24.78,0.0196,0.0329,0.0328,0.6266
16-APR-2026,500388,82.00,78.10,0.0487,0.0326,0.0327,0.6247
16-APR-2026,500389,8.79,8.38,0.0478,0.0323,0.0324,0.6190
16-APR-2026,500414,296.30,291.15,0.0175,0.0328,0.0328,0.6266
16-APR-2026,500421,16.00,15.90,0.0063,0.0318,0.0317,0.6056
16-APR-2026,500422,172.10,163.95,0.0485,0.0357,0.0357,0.6820
16-APR-2026,500426,1.80,1.82,-0.0110,0.0372,0.0371,0.7088
16-APR-2026,500449,29.52,28.06,0.0507,0.0331,0.0332,0.6343
16-APR-2026,500450,458.00,440.10,0.0399,0.0338,0.0338,0.6457
16-APR-2026,500458,32.00,31.38,0.0196,0.0380,0.0379,0.7241
16-APR-2026,500500,16.99,16.76,0.0136,0.0350,0.0350,0.6687
16-APR-2026,500672,999.70,992.60,0.0071,0.0213,0.0213,0.4069
16-APR-2026,501110,7.15,7.15,0.0000,0.0005,0.0005,0.0096
16-APR-2026,501111,12.14,12.14,0.0000,0.0032,0.0031,0.0592
16-APR-2026,501148,330.70,337.40,-0.0201,0.0152,0.0153,0.2923
16-APR-2026,501151,3857.00,3673.35,0.0488,0.0186,0.0189,0.3611
16-APR-2026,501270,1.34,1.34,0.0000,0.0007,0.0007,0.0134
16-APR-2026,501298,6117.50,6061.50,0.0092,0.0221,0.0220,0.4203
16-APR-2026,501311,19.37,18.45,0.0487,0.0319,0.0320,0.6114
16-APR-2026,501314,0.71,0.60,0.1683,0.0377,0.0395,0.7546
16-APR-2026,501351,83.40,79.43,0.0488,0.0310,0.0311,0.5942
16-APR-2026,501370,108.00,107.03,0.0090,0.0344,0.0343,0.6553
16-APR-2026,501386,19.21,19.21,0.0000,0.0140,0.0140,0.2675
16-APR-2026,501391,556.95,559.85,-0.0052,0.0317,0.0317,0.6056
16-APR-2026,501421,5899.85,5793.35,0.0182,0.0326,0.0326,0.6228
16-APR-2026,501430,1658.40,1680.00,-0.0129,0.0261,0.0261,0.4986
16-APR-2026,501477,220.00,225.00,-0.0225,0.0319,0.0318,0.6075
16-APR-2026,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
16-APR-2026,501622,47.18,44.94,0.0486,0.0268,0.0270,0.5158
16-APR-2026,501630,24.48,24.48,0.0000,0.0017,0.0017,0.0325
16-APR-2026,501700,7.25,7.45,-0.0272,0.0306,0.0306,0.5846
16-APR-2026,501833,19.94,19.88,0.0030,0.0326,0.0325,0.6209
16-APR-2026,501848,49.62,48.80,0.0167,0.0382,0.0382,0.7298
16-APR-2026,501945,9.56,9.38,0.0190,0.0139,0.0139,0.2656
16-APR-2026,502015,25.79,25.90,-0.0043,0.0344,0.0344,0.6572
16-APR-2026,502250,638.35,608.00,0.0487,0.0324,0.0325,0.6209
16-APR-2026,502281,6.56,6.98,-0.0621,0.0371,0.0373,0.7126
16-APR-2026,502294,42.45,43.31,-0.0201,0.0453,0.0452,0.8635
16-APR-2026,502445,41.13,39.01,0.0529,0.0398,0.0399,0.7623
16-APR-2026,502587,54.49,53.27,0.0226,0.0279,0.0279,0.5330
16-APR-2026,502589,104.18,99.22,0.0488,0.0290,0.0292,0.5579
16-APR-2026,502850,15.03,15.03,0.0000,0.0052,0.0052,0.0993
16-APR-2026,502865,341.00,335.45,0.0164,0.0292,0.0292,0.5579
16-APR-2026,502873,112.75,104.28,0.0781,0.0300,0.0304,0.5808
16-APR-2026,502893,70.64,67.91,0.0394,0.0434,0.0434,0.8292
16-APR-2026,502901,81.36,83.15,-0.0218,0.0273,0.0273,0.5216
16-APR-2026,502933,102.00,103.80,-0.0175,0.0323,0.0322,0.6152
16-APR-2026,502958,7272.75,7449.00,-0.0239,0.0207,0.0207,0.3955
16-APR-2026,503092,26.42,26.42,0.0000,0.0504,0.0502,0.9591
16-APR-2026,503127,5250.00,5363.95,-0.0215,0.0262,0.0261,0.4986
16-APR-2026,503229,164.55,164.55,0.0000,0.0331,0.0330,0.6305
16-APR-2026,503349,5339.00,5340.10,-0.0002,0.0267,0.0267,0.5101
16-APR-2026,503622,7.71,7.71,0.0000,0.0020,0.0020,0.0382
16-APR-2026,503624,9.49,9.31,0.0191,0.0433,0.0432,0.8253
16-APR-2026,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
16-APR-2026,503635,580.80,611.35,-0.0513,0.0283,0.0285,0.5445
16-APR-2026,503639,32.49,30.95,0.0486,0.0349,0.0350,0.6687
16-APR-2026,503641,2.08,1.99,0.0442,0.0396,0.0396,0.7566
16-APR-2026,503657,13.32,12.90,0.0320,0.0320,0.0320,0.6114
16-APR-2026,503663,1.04,1.03,0.0097,0.0357,0.0356,0.6801
16-APR-2026,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
16-APR-2026,503675,1.12,1.18,-0.0522,0.0419,0.0419,0.8005
16-APR-2026,503681,123995.05,107808.20,0.1399,0.3243,0.3236,6.1824
16-APR-2026,503685,16.20,16.14,0.0037,0.0342,0.0341,0.6515
16-APR-2026,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
16-APR-2026,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
16-APR-2026,503772,67.90,67.90,0.0000,0.0289,0.0288,0.5502
16-APR-2026,503776,41.29,39.33,0.0486,0.0417,0.0418,0.7986
16-APR-2026,503804,308.80,316.90,-0.0259,0.0251,0.0251,0.4795
16-APR-2026,503816,38.23,36.24,0.0535,0.0339,0.0340,0.6496
16-APR-2026,503837,12.96,13.62,-0.0497,0.0353,0.0354,0.6763
16-APR-2026,503863,19.54,19.54,0.0000,0.0263,0.0262,0.5006
16-APR-2026,504000,102.37,102.57,-0.0020,0.0240,0.0240,0.4585
16-APR-2026,504028,67.33,67.83,-0.0074,0.0265,0.0264,0.5044
16-APR-2026,504076,71.51,67.53,0.0573,0.0371,0.0372,0.7107
16-APR-2026,504080,971.80,1072.30,-0.0984,0.0350,0.0356,0.6801
16-APR-2026,504084,904.65,897.20,0.0083,0.0354,0.0353,0.6744
16-APR-2026,504092,495.10,504.80,-0.0194,0.0314,0.0314,0.5999
16-APR-2026,504093,300.00,300.10,-0.0003,0.0225,0.0225,0.4299
16-APR-2026,504132,832.50,813.55,0.0230,0.0296,0.0295,0.5636
16-APR-2026,504176,604.50,581.60,0.0386,0.0294,0.0294,0.5617
16-APR-2026,504180,47.65,46.75,0.0191,0.0300,0.0299,0.5712
16-APR-2026,504240,410.55,399.45,0.0274,0.0357,0.0356,0.6801
16-APR-2026,504258,838.15,854.90,-0.0198,0.0244,0.0244,0.4662
16-APR-2026,504273,18.58,19.11,-0.0281,0.0283,0.0283,0.5407
