SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,71.46,76.08
WHEELS,19.27,19.27
RIIL,118.48,118.48
PREMIERPOL,20.26,20.26
RAYMOND,35.06,9.93
RSWM,39.05,27.76
SHREDIGCEM,30.52,30.52
SESHAPAPER,22.09,22.09
SMLMAH,38.70,38.70
SUNDRMFAST,30.51,29.99
FACT,2004.51,4831.56
EXIDEIND,33.80,33.53
EUROTEXIND,6.80,6.80
ELECON,27.20,32.51
CRISIL,39.35,39.35
LMW,127.69,120.44
NELCO,,319.34
MASTEK,13.41,13.19
MAHSCOOTER,41.44,47.80
LUMAXIND,50.30,45.54
TRENT,88.34,87.27
KECL,82.11,47.67
CUMMINSIND,70.36,67.46
KCP,9.25,8.94
JAYBARMARU,12.97,12.24
JBCHEPHARM,42.20,42.20
INFY,18.90,18.32
INDIAGLYCO,27.87,27.78
IONEXCHANG,32.52,30.46
IFBIND,33.98,31.57
HIMATSEIDE,15.88,6.31
GNFC,10.76,10.76
GFLLIMITED,289.34,289.34
BPCL,6.04,5.94
BHARATFORG,76.18,73.62
BASF,42.08,42.79
FORCEMOT,21.32,30.37
ATUL,32.01,32.01
ARVIND,24.31,23.41
ACC,10.17,10.71
TMPV,58.45,17.55
SCI,10.88,10.88
MRPL,14.26,14.26
LINDEINDIA,116.49,116.49
HINDPETRO,5.26,5.26
ESCORTS,27.43,27.84
BAJAJHLDNG,55.66,174.49
ASHOKLEY,28.98,26.62
VOLTAS,74.98,72.67
TITAN,84.25,82.29
TATASTEEL,29.57,27.63
SUNDARMFIN,27.60,26.91
SPIC,8.91,8.91
VEDL,18.08,16.53
SBIN,11.64,11.96
RELIANCE,18.67,18.67
PFIZER,26.24,29.41
NOCIL,47.90,45.27
BOSCHLTD,39.69,47.37
DRREDDY,18.45,18.45
BATAINDIA,53.49,49.57
DEEPAKFERT,17.44,17.44
CHAMBLFERT,10.27,10.27
CARBORUNIV,82.95,82.95
MAHSEAMLES,10.07,10.04
HINDOILEXP,19.50,28.03
DICIND,28.27,25.39
COROMANDEL,25.92,29.35
BALMLAWRIE,15.02,15.02
WILLAMAGOR,1.82,1.82
VINDHYATEL,90.07,90.07
MOTOGENFIN,69.30,69.30
ASIANPAINT,62.04,58.37
RAMCOCEM,41.59,210.60
INDIACEM,,63.24
PGHL,27.94,27.94
BEML,57.23,57.23
ADOR,25.29,23.41
CENTENKA,13.64,13.09
TATACHEM,104.12,56.57
TORNTPHARM,61.96,61.06
VTL,21.54,21.54
SUNDROP,,61.79
FEDERALBNK,16.84,16.84
EPL,18.66,18.08
VLSFINANCE,13.34,13.34
SUPREMEIND,66.46,66.46
SRF,41.66,40.43
BIRLACABLE,57.48,57.48
BALRAMCHIN,23.88,23.88
AEGISLOG,23.84,23.84
WEIZMANIND,14.80,14.80
UNICHEMLAB,8.28,29.91
BBOX,42.81,33.29
HONAUT,53.38,52.59
JTEKTINDIA,49.89,48.16
SAURASHCEM,24.95,27.92
RANEHOLDIN,17.46,14.38
PRECOT,16.61,16.61
TATAELXSI,48.73,44.84
SUNPHARMA,37.00,33.29
KOHINOOR,0.26,
SHREYANIND,6.33,6.33
SANDESH,6.74,6.64
HCC,14.31,15.31
APOLLOHOSP,60.36,59.86
ARE&M,18.63,20.20
ADANIENT,24.82,82.38
IVP,10.92,10.68
BALKRISIND,34.21,34.21
INDBANK,21.20,21.20
GINNIFILA,9.52,8.57
EICHERMOT,42.19,41.80
GVT&D,99.12,94.73
NEULANDLAB,107.31,107.31
ONGC,8.20,8.19
ZENSARTECH,17.31,16.86
TAINWALCHM,17.93,17.93
BERGEPAINT,55.00,51.62
BANARISUG,32.12,32.12
ANIKINDS,76.30,76.30
KPIL,25.30,24.62
JYOTISTRUC,30.81,30.81
IGARASHI,80.73,80.73
BSL,34.84,34.84
BLUEDART,48.35,42.19
JAYNECOIND,23.80,23.18
MUNJALSHOW,16.13,15.32
APCOTEXIND,23.76,23.89
SOTL,14.92,14.92
HSCL,35.20,35.20
RCF,22.59,22.79
RANASUG,5.87,6.54
KARURVYSYA,11.77,11.77
DECCANCE,29.60,29.60
UFLEX,9.49,11.29
TATAPOWER,30.17,30.27
ADVANIHOTR,21.29,20.81
THOMASCOOK,20.09,19.62
SUNFLAG,22.90,22.18
SUBROS,31.16,30.13
SPMLINFRA,26.06,26.06
SIMPLEXINF,29.04,37.75
SIEMENS,75.41,75.41
BHARATRAS,19.73,18.39
WIPRO,16.57,16.57
VSTIND,17.70,17.70
JUBLPHARMA,33.60,30.95
UNIVCABLES,29.89,29.89
TATACOMM,29.80,42.38
TOKYOPLAST,67.02,67.02
SOMANYCERA,32.33,32.33
MURUDCERA,14.23,14.23
IFCI,23.81,23.38
HLVLTD,134.51,64.87
SANOFI,24.81,23.45
M&M,26.90,26.53
LIBERTSHOE,39.35,38.68
KAJARIACER,46.20,43.30
HEIDELBERG,25.64,25.12
MODTHREAD,15.05,15.05
MANGLMCEM,31.09,30.77
PRSMJOHNSN,41.79,
PIDILITIND,58.44,57.87
PCBL,42.73,45.79
3PLAND,30.62,30.62
OSWALAGRO,9.06,9.06
